image_name,100,200,300
1.JPEG,160.26971435546875,172.25401306152344,172.25405883789062
2.JPEG,168.22439575195312,179.13580322265625,179.13540649414062
3.JPEG,177.7288055419922,172.5323486328125,172.53192138671875
4.JPEG,162.6829376220703,178.44277954101562,178.44288635253906
5.JPEG,173.03860473632812,151.42666625976562,151.42691040039062
6.JPEG,193.13162231445312,163.3248748779297,163.3240509033203
7.JPEG,170.98204040527344,160.16122436523438,160.162353515625
8.JPEG,182.84519958496094,163.28543090820312,163.28636169433594
9.JPEG,176.8653564453125,176.7293701171875,176.72909545898438
10.JPEG,167.76605224609375,168.24200439453125,168.24143981933594
11.JPEG,164.77517700195312,152.4271240234375,152.42684936523438
12.JPEG,181.4816436767578,161.32260131835938,161.3232879638672
13.JPEG,167.2902069091797,178.76905822753906,178.7693634033203
14.JPEG,177.5629425048828,160.67636108398438,160.67677307128906
15.JPEG,174.7745819091797,173.32481384277344,173.325439453125
16.JPEG,175.94622802734375,175.85850524902344,175.85791015625
17.JPEG,173.05482482910156,177.3705596923828,177.37258911132812
18.JPEG,180.31898498535156,178.88905334472656,178.8885955810547
19.JPEG,180.54983520507812,177.4527130126953,177.4520721435547
20.JPEG,165.1272430419922,165.6328887939453,165.63336181640625
21.JPEG,153.59234619140625,171.05462646484375,171.05567932128906
22.JPEG,173.65509033203125,175.18649291992188,175.18580627441406
23.JPEG,177.08978271484375,169.62632751464844,169.62664794921875
24.JPEG,167.81265258789062,168.32943725585938,168.32989501953125
25.JPEG,149.2779083251953,162.30859375,162.30870056152344
26.JPEG,167.42465209960938,174.7914581298828,174.7922821044922
27.JPEG,172.109619140625,192.7883758544922,192.7893829345703
28.JPEG,162.71954345703125,162.54432678222656,162.54443359375
29.JPEG,169.8045654296875,167.94964599609375,167.9501495361328
30.JPEG,169.95643615722656,179.19837951660156,179.1981964111328
31.JPEG,161.12315368652344,170.8346710205078,170.8352508544922
32.JPEG,151.8520965576172,173.78883361816406,173.7891082763672
33.JPEG,170.03794860839844,173.96495056152344,173.96530151367188
34.JPEG,195.01132202148438,160.05691528320312,160.05743408203125
35.JPEG,175.31878662109375,175.6956329345703,175.69529724121094
36.JPEG,181.0650177001953,177.04666137695312,177.04788208007812
37.JPEG,165.47227478027344,189.47113037109375,189.47137451171875
