image_name,densenet121,densenet169,densenet201
1.JPEG,0.2189970761537552,0.21226726472377777,0.07831375300884247
2.JPEG,0.12525574862957,0.14472469687461853,0.10220048576593399
3.JPEG,0.362243115901947,0.3183806538581848,0.14920881390571594
4.JPEG,0.13530310988426208,0.14885582029819489,0.10066334903240204
5.JPEG,0.1619192510843277,0.12256502360105515,0.09241341054439545
6.JPEG,0.17357642948627472,0.2619483172893524,0.10236793011426926
7.JPEG,0.19110910594463348,0.12182140350341797,0.1348491609096527
8.JPEG,0.2626815140247345,0.15870994329452515,0.1776510775089264
9.JPEG,0.36427897214889526,0.1847562938928604,0.09534619003534317
10.JPEG,0.16446450352668762,0.14544600248336792,0.080694280564785
11.JPEG,0.18463586270809174,0.12985935807228088,0.061762697994709015
12.JPEG,0.15107840299606323,0.15011879801750183,0.10931975394487381
13.JPEG,0.22932939231395721,0.17102664709091187,0.10142304748296738
14.JPEG,0.194619283080101,0.1694749891757965,0.08174789696931839
15.JPEG,0.218352273106575,0.1787998080253601,0.08575938642024994
16.JPEG,0.5173825025558472,0.2933064103126526,0.21279595792293549
17.JPEG,0.20477983355522156,0.2068134993314743,0.11843021214008331
18.JPEG,0.3721220791339874,0.17079129815101624,0.14485923945903778
19.JPEG,0.20484469830989838,0.15173004567623138,0.08170896023511887
20.JPEG,0.2624918222427368,0.11573924124240875,0.11228669434785843
21.JPEG,0.21361267566680908,0.14929063618183136,0.09764759242534637
22.JPEG,0.1821216493844986,0.1559666097164154,0.05195973813533783
23.JPEG,0.1928398162126541,0.16063696146011353,0.12109819799661636
24.JPEG,0.3031211495399475,0.19388341903686523,0.10810433328151703
25.JPEG,0.12571656703948975,0.14789079129695892,0.06977860629558563
26.JPEG,0.33009207248687744,0.341926634311676,0.2807233929634094
27.JPEG,0.3225729763507843,0.2914580702781677,0.21189427375793457
28.JPEG,0.18536430597305298,0.10926106572151184,0.1153453141450882
29.JPEG,0.22996976971626282,0.18227657675743103,0.08420447260141373
30.JPEG,0.1674250215291977,0.13865138590335846,0.0742890015244484
31.JPEG,0.1803162395954132,0.1526179015636444,0.10176067054271698
32.JPEG,0.16416016221046448,0.1349521279335022,0.0976872444152832
33.JPEG,0.17731404304504395,0.10141684114933014,0.12697598338127136
34.JPEG,0.1592736840248108,0.10143251717090607,0.07268466800451279
35.JPEG,0.26094281673431396,0.13331903517246246,0.07919467240571976
36.JPEG,0.20856164395809174,0.1315460056066513,0.06925149261951447
37.JPEG,0.20703767240047455,0.268941730260849,0.09347023814916611
38.JPEG,0.14878088235855103,0.16912317276000977,0.21941867470741272
39.JPEG,0.40710604190826416,0.23592549562454224,0.12544499337673187
40.JPEG,0.18396654725074768,0.24568802118301392,0.10532527416944504
41.JPEG,0.3284279406070709,0.26705554127693176,0.11035183072090149
42.JPEG,0.1948363482952118,0.20819583535194397,0.12845896184444427
43.JPEG,0.28729668259620667,0.2934485673904419,0.18239368498325348
44.JPEG,0.36031270027160645,0.4014405906200409,0.13779179751873016
45.JPEG,0.18222364783287048,0.1837557703256607,0.1305687576532364
46.JPEG,0.22786465287208557,0.16980290412902832,0.06533906608819962
47.JPEG,0.33933189511299133,0.2621990442276001,0.18953680992126465
48.JPEG,0.1940980702638626,0.22370943427085876,0.07251609116792679
49.JPEG,0.17374730110168457,0.1345011442899704,0.08969064801931381
50.JPEG,0.20119424164295197,0.12777726352214813,0.10635252296924591
51.JPEG,0.17464329302310944,0.1328655332326889,0.05166923627257347
52.JPEG,0.36713504791259766,0.23758171498775482,0.10388527065515518
53.JPEG,0.22109776735305786,0.14500850439071655,0.15185216069221497
54.JPEG,0.24034801125526428,0.22986088693141937,0.08654456585645676
55.JPEG,0.1603483259677887,0.16505040228366852,0.08037164062261581
56.JPEG,0.15703615546226501,0.1960204392671585,0.07775196433067322
57.JPEG,0.19862528145313263,0.1518835872411728,0.07838845252990723
58.JPEG,0.1895037293434143,0.19649264216423035,0.07388642430305481
59.JPEG,0.2068450003862381,0.1719399392604828,0.10050329566001892
60.JPEG,0.20291417837142944,0.12461595982313156,0.06998398900032043
61.JPEG,0.21021157503128052,0.13980534672737122,0.08438446372747421
62.JPEG,0.23113569617271423,0.1609828770160675,0.10455121845006943
63.JPEG,0.19566169381141663,0.1484120786190033,0.08104581385850906
64.JPEG,0.11635540425777435,0.13529959321022034,0.12259270250797272
65.JPEG,0.3450092375278473,0.23242804408073425,0.1331222951412201
66.JPEG,0.205369234085083,0.1625223010778427,0.10278979688882828
67.JPEG,0.2277093529701233,0.1896742433309555,0.07508279383182526
68.JPEG,0.23774142563343048,0.16911689937114716,0.0822722390294075
69.JPEG,0.17058512568473816,0.13539336621761322,0.09519930183887482
70.JPEG,0.19823405146598816,0.18565095961093903,0.07594547420740128
71.JPEG,0.20773284137248993,0.19145745038986206,0.09027099609375
72.JPEG,0.1419215351343155,0.11394930630922318,0.05667341873049736
73.JPEG,0.09959530830383301,0.1361074596643448,0.09945955872535706
74.JPEG,0.11206355690956116,0.09068163484334946,0.05015895888209343
75.JPEG,0.1788952797651291,0.17035387456417084,0.07868988811969757
76.JPEG,0.2588479220867157,0.13617804646492004,0.10556373000144958
77.JPEG,0.20703095197677612,0.20154793560504913,0.08712151646614075
78.JPEG,0.19228073954582214,0.1747744083404541,0.08231779932975769
79.JPEG,0.1991652399301529,0.21662306785583496,0.06354022771120071
80.JPEG,0.176602303981781,0.12817782163619995,0.09810040891170502
81.JPEG,0.20510198175907135,0.18245317041873932,0.0809548869729042
82.JPEG,0.19498810172080994,0.1467686891555786,0.03630032017827034
83.JPEG,0.12211374938488007,0.10516452044248581,0.0757785513997078
84.JPEG,0.1907627135515213,0.14868684113025665,0.11395709216594696
85.JPEG,0.28382593393325806,0.22244025766849518,0.09844253212213516
86.JPEG,0.21465159952640533,0.13712316751480103,0.09710235893726349
87.JPEG,0.1727956086397171,0.1761535108089447,0.07930837571620941
88.JPEG,0.3780849874019623,0.3803872764110565,0.17767800390720367
89.JPEG,0.3959878981113434,0.26042482256889343,0.10061543434858322
90.JPEG,0.18571977317333221,0.22321544587612152,0.08375278115272522
91.JPEG,0.3101953864097595,0.17313820123672485,0.08209320157766342
92.JPEG,0.2362758219242096,0.23941460251808167,0.0993516743183136
93.JPEG,0.25099292397499084,0.24443981051445007,0.12277840822935104
94.JPEG,0.27354124188423157,0.2436860352754593,0.09640458971261978
95.JPEG,0.29896754026412964,0.33802860975265503,0.21328741312026978
96.JPEG,0.11731085181236267,0.1683007776737213,0.11018349230289459
97.JPEG,0.2236785888671875,0.2038121223449707,0.16196438670158386
98.JPEG,0.19774483144283295,0.13184253871440887,0.10168321430683136
99.JPEG,0.16028349101543427,0.18850010633468628,0.11475462466478348
100.JPEG,0.18574778735637665,0.24796979129314423,0.08971130847930908
101.JPEG,0.19488900899887085,0.2056204229593277,0.14793901145458221
102.JPEG,0.17101629078388214,0.09778977185487747,0.07958447933197021
103.JPEG,0.15325793623924255,0.21745166182518005,0.0813138335943222
104.JPEG,0.2745134234428406,0.3500988185405731,0.10788832604885101
105.JPEG,0.3222444951534271,0.23973116278648376,0.1349354237318039
106.JPEG,0.18437114357948303,0.15416094660758972,0.15821953117847443
107.JPEG,0.23437945544719696,0.17937597632408142,0.07218511402606964
108.JPEG,0.18566270172595978,0.21143731474876404,0.0740450844168663
109.JPEG,0.17202205955982208,0.15409141778945923,0.10065526515245438
110.JPEG,0.1723523885011673,0.1615186482667923,0.1087927520275116
111.JPEG,0.1731628030538559,0.18975885212421417,0.11847560852766037
112.JPEG,0.19384601712226868,0.14684298634529114,0.0957409217953682
113.JPEG,0.19148209691047668,0.12409134209156036,0.06469723582267761
114.JPEG,0.12325353175401688,0.12271004170179367,0.05587683245539665
115.JPEG,0.12762922048568726,0.10944676399230957,0.0592331662774086
116.JPEG,0.16443131864070892,0.1753617376089096,0.07874683290719986
117.JPEG,0.4951672852039337,0.25256088376045227,0.17467616498470306
118.JPEG,0.251516193151474,0.26374369859695435,0.09702813625335693
119.JPEG,0.21048633754253387,0.1885623335838318,0.058478668332099915
120.JPEG,0.265409916639328,0.248288094997406,0.12634150683879852
121.JPEG,0.2687877416610718,0.16588813066482544,0.1314694583415985
122.JPEG,0.21547140181064606,0.1879580169916153,0.09099641442298889
123.JPEG,0.1595386564731598,0.12594309449195862,0.10874828696250916
124.JPEG,0.19198159873485565,0.1285926252603531,0.07831975072622299
125.JPEG,0.17605721950531006,0.14831338822841644,0.059179630130529404
126.JPEG,0.21987327933311462,0.14838965237140656,0.10507840663194656
127.JPEG,0.17031386494636536,0.18273697793483734,0.14262062311172485
128.JPEG,0.1910208761692047,0.12965835630893707,0.06435034424066544
129.JPEG,0.14067435264587402,0.19172143936157227,0.12777476012706757
130.JPEG,0.2240590900182724,0.1947343349456787,0.1079774871468544
131.JPEG,0.3027283251285553,0.260003924369812,0.19421438872814178
132.JPEG,0.1876239776611328,0.14349713921546936,0.12218177318572998
133.JPEG,0.26278531551361084,0.261147141456604,0.23789067566394806
134.JPEG,0.15216639637947083,0.2516227960586548,0.09059608727693558
135.JPEG,0.1873057633638382,0.17361091077327728,0.086532361805439
136.JPEG,0.22637701034545898,0.21791574358940125,0.09375058859586716
137.JPEG,0.17726963758468628,0.12664225697517395,0.053616002202034
138.JPEG,0.1632751226425171,0.1361343115568161,0.0736212432384491
139.JPEG,0.13976317644119263,0.14544042944908142,0.08120513707399368
140.JPEG,0.17544233798980713,0.2022261619567871,0.10549934208393097
141.JPEG,0.19100382924079895,0.1857086569070816,0.10604126006364822
142.JPEG,0.1983991116285324,0.14971166849136353,0.12633457779884338
143.JPEG,0.1473279744386673,0.19365781545639038,0.08277810364961624
144.JPEG,0.14070375263690948,0.15047863125801086,0.08181343227624893
145.JPEG,0.19434069097042084,0.09639886766672134,0.06201382726430893
146.JPEG,0.2568788230419159,0.15606924891471863,0.16999490559101105
147.JPEG,0.1736157089471817,0.12308843433856964,0.07564928382635117
148.JPEG,0.2907085120677948,0.2757241725921631,0.12537765502929688
149.JPEG,0.17824608087539673,0.16094970703125,0.11916926503181458
150.JPEG,0.11562380939722061,0.1467716544866562,0.08275511115789413
151.JPEG,0.19300194084644318,0.18949875235557556,0.0848991721868515
152.JPEG,0.3319884240627289,0.2804173231124878,0.12089673429727554
153.JPEG,0.2847761809825897,0.2193240225315094,0.0730704516172409
154.JPEG,0.3132277727127075,0.3157487213611603,0.15048949420452118
155.JPEG,0.18908482789993286,0.09731606394052505,0.10416483134031296
156.JPEG,0.21219898760318756,0.2212183177471161,0.09176402539014816
157.JPEG,0.22112227976322174,0.16458463668823242,0.0904604122042656
158.JPEG,0.42563608288764954,0.44264742732048035,0.18543246388435364
159.JPEG,0.17610926926136017,0.16497410833835602,0.12252908200025558
160.JPEG,0.1736857295036316,0.18777991831302643,0.09411787986755371
161.JPEG,0.21330317854881287,0.20074878633022308,0.0914759561419487
162.JPEG,0.1401308923959732,0.11429763585329056,0.07669078558683395
163.JPEG,0.197584867477417,0.17867347598075867,0.07412810623645782
164.JPEG,0.6799589991569519,0.48988768458366394,0.23438364267349243
165.JPEG,0.24501217901706696,0.24282336235046387,0.12348675727844238
166.JPEG,0.1852266937494278,0.1868477165699005,0.08628857135772705
167.JPEG,0.23302467167377472,0.2388334572315216,0.11525245755910873
168.JPEG,0.20506896078586578,0.2262379229068756,0.09431301802396774
169.JPEG,0.2798078954219818,0.1487657129764557,0.10590542107820511
170.JPEG,0.29075780510902405,0.299786239862442,0.10056288540363312
171.JPEG,0.22613313794136047,0.17291752994060516,0.1352858543395996
172.JPEG,0.1870947927236557,0.12826237082481384,0.09724075347185135
173.JPEG,0.16970163583755493,0.11643688380718231,0.11620768159627914
174.JPEG,0.15035678446292877,0.18271446228027344,0.07621489465236664
175.JPEG,0.19990725815296173,0.17695917189121246,0.19008949398994446
176.JPEG,0.21999041736125946,0.16989609599113464,0.07838621735572815
177.JPEG,0.15830689668655396,0.1479061245918274,0.07589227706193924
178.JPEG,0.15976132452487946,0.16192054748535156,0.1010051965713501
179.JPEG,0.12264659255743027,0.12319875508546829,0.09097851067781448
180.JPEG,0.1960635781288147,0.17324860394001007,0.06497663259506226
181.JPEG,0.12558120489120483,0.12094719707965851,0.08346585929393768
182.JPEG,0.1776537150144577,0.1789223551750183,0.10653035342693329
183.JPEG,0.2029595971107483,0.2175920605659485,0.10165241360664368
184.JPEG,0.16622856259346008,0.12994001805782318,0.09562861174345016
