image_name,vit_small_patch16_224,vit_base_patch16_224,vit_large_patch16_224
1.JPEG,2.0650532245635986,0.3230687975883484,2.529404878616333
2.JPEG,1.7189477682113647,0.35324499011039734,2.3249917030334473
3.JPEG,2.2073214054107666,0.25163283944129944,2.736826181411743
4.JPEG,2.1474337577819824,0.32065317034721375,1.225909948348999
5.JPEG,2.103447198867798,0.3086227774620056,1.9226906299591064
6.JPEG,1.9065529108047485,0.4760913550853729,1.3986942768096924
7.JPEG,2.34980845451355,0.3363182842731476,2.738474130630493
8.JPEG,2.1337902545928955,0.2702777683734894,2.3401122093200684
9.JPEG,2.142451047897339,0.3734891712665558,2.134876012802124
10.JPEG,2.01342511177063,0.29333019256591797,1.0175321102142334
11.JPEG,2.2038443088531494,0.29377689957618713,0.8014887571334839
12.JPEG,2.2232580184936523,0.2601872682571411,1.8733478784561157
13.JPEG,2.135619640350342,0.35845425724983215,1.4800175428390503
14.JPEG,1.9838324785232544,0.27177515625953674,2.977277994155884
15.JPEG,1.9852118492126465,0.31780365109443665,2.3525352478027344
16.JPEG,1.9995719194412231,0.5255690217018127,2.2284533977508545
17.JPEG,1.953177809715271,0.318840354681015,2.2294812202453613
18.JPEG,2.313105583190918,0.35231149196624756,2.276472806930542
19.JPEG,2.0131754875183105,0.32811418175697327,2.6211178302764893
20.JPEG,2.2636570930480957,0.43163397908210754,1.336892008781433
21.JPEG,1.8799152374267578,0.3861273229122162,2.7974414825439453
22.JPEG,2.2592508792877197,0.2723744809627533,2.639268636703491
23.JPEG,1.9281268119812012,0.3450503349304199,2.5707497596740723
24.JPEG,1.8970881700515747,0.3314598500728607,2.8270225524902344
25.JPEG,2.130927801132202,0.38108381628990173,2.8303987979888916
26.JPEG,2.3804783821105957,0.265798419713974,2.145045518875122
27.JPEG,2.1946423053741455,0.3840881884098053,2.608311176300049
28.JPEG,2.079353094100952,0.35718977451324463,1.9969571828842163
29.JPEG,2.0415709018707275,0.2999713718891144,2.4948580265045166
30.JPEG,2.079787492752075,0.4870223104953766,1.3976768255233765
31.JPEG,2.174283981323242,0.3388332426548004,2.337523937225342
32.JPEG,1.9254873991012573,0.3684118986129761,1.0519064664840698
33.JPEG,2.066624641418457,0.2925587594509125,2.949014902114868
