image_name,resnet18,resnet50,resnet101
1.JPEG,16.969982147216797,3.9789021015167236,4.023165702819824
2.JPEG,18.70122718811035,3.862946033477783,56.87885284423828
3.JPEG,17.287914276123047,2.4136157035827637,5.188453197479248
4.JPEG,17.77742576599121,2.4292712211608887,3.390442132949829
5.JPEG,17.64634132385254,3.3278326988220215,3.0544097423553467
6.JPEG,16.31312370300293,3.456122875213623,4.106790065765381
7.JPEG,13.835079193115234,3.717167377471924,4.079548358917236
8.JPEG,18.264875411987305,4.426105499267578,4.239920616149902
9.JPEG,19.7865047454834,3.5729966163635254,2.6500957012176514
10.JPEG,14.74345588684082,2.925769805908203,7.490958213806152
11.JPEG,20.01120376586914,3.434267044067383,3.984846830368042
12.JPEG,16.66892433166504,4.464071273803711,4.375805377960205
13.JPEG,21.44894790649414,3.2521815299987793,219.57508850097656
14.JPEG,21.1048641204834,5.124160289764404,21.445066452026367
15.JPEG,24.799781799316406,4.450899600982666,5.3518500328063965
16.JPEG,21.790424346923828,297.2228088378906,23656.3671875
17.JPEG,15.537435531616211,8.95319938659668,1404.592041015625
18.JPEG,19.129966735839844,228.02085876464844,20789.693359375
19.JPEG,18.889928817749023,3.089890241622925,5.356558322906494
20.JPEG,22.359006881713867,5.143138408660889,13.128323554992676
21.JPEG,13.71456241607666,3.0215225219726562,3.0542452335357666
22.JPEG,18.613489151000977,2.373915672302246,3.534986734390259
23.JPEG,17.543872833251953,3.1617298126220703,153.389892578125
24.JPEG,18.625490188598633,3.490306854248047,3.42276668548584
25.JPEG,16.528654098510742,5.219913482666016,3.8160271644592285
26.JPEG,19.0578670501709,9.58743953704834,1751.65283203125
27.JPEG,22.26323127746582,2.3576200008392334,2.469404697418213
28.JPEG,17.097692489624023,3.7351114749908447,3.735764980316162
29.JPEG,16.990890502929688,2.730558395385742,11.10188102722168
30.JPEG,18.739898681640625,2.5983943939208984,3.712864875793457
31.JPEG,17.63289451599121,2.4242167472839355,3.8793444633483887
32.JPEG,21.74244499206543,4.833460330963135,557.0917358398438
33.JPEG,16.364727020263672,8.595187187194824,4167.173828125
34.JPEG,15.79898452758789,4.2965898513793945,4.770216464996338
35.JPEG,18.048425674438477,3.336503267288208,5.32016134262085
