image_name,densenet121,densenet169,densenet201
1.JPEG,14.986141204833984,18.79598617553711,12.262598037719727
2.JPEG,11.331586837768555,15.518451690673828,14.008479118347168
3.JPEG,19.263643264770508,23.01706886291504,16.94607162475586
4.JPEG,11.772306442260742,15.738382339477539,13.909355163574219
5.JPEG,12.882472038269043,14.281416893005371,13.323471069335938
6.JPEG,13.342881202697754,20.87787437438965,14.027076721191406
7.JPEG,14.004973411560059,14.241433143615723,16.0921573638916
8.JPEG,16.445283889770508,16.256208419799805,18.497289657592773
9.JPEG,19.33279037475586,17.535911560058594,13.530664443969727
10.JPEG,12.98386287689209,15.55715274810791,12.458365440368652
11.JPEG,13.756335258483887,14.699995994567871,10.889653205871582
12.JPEG,12.446826934814453,15.807229995727539,14.491678237915039
13.JPEG,15.32650375366211,16.87322998046875,13.954693794250488
14.JPEG,14.132209777832031,16.793054580688477,12.538935661315918
15.JPEG,14.971531867980957,17.249128341674805,12.835291862487793
16.JPEG,23.038650512695312,22.096717834472656,20.23240089416504
17.JPEG,14.484090805053711,18.550987243652344,15.079652786254883
18.JPEG,19.558177947998047,16.859140396118164,16.70965003967285
19.JPEG,14.49422836303711,15.891671180725098,12.526426315307617
20.JPEG,16.394962310791016,13.879590034484863,14.68335247039795
21.JPEG,14.78984546661377,15.763134002685547,13.70590877532959
22.JPEG,13.681147575378418,16.114696502685547,9.988523483276367
23.JPEG,14.053508758544922,16.349355697631836,15.265992164611816
24.JPEG,17.618438720703125,17.967018127441406,14.409573554992676
25.JPEG,11.35604476928711,15.688629150390625,11.589258193969727
26.JPEG,18.394561767578125,23.853092193603516,23.232994079589844
27.JPEG,18.175264358520508,22.02464485168457,20.170223236083984
28.JPEG,13.780516624450684,13.483783721923828,14.887772560119629
29.JPEG,15.361520767211914,17.425119400024414,12.71555233001709
30.JPEG,13.103102684020996,15.190328598022461,11.943157196044922
31.JPEG,13.5938081741333,15.936614990234375,13.97849178314209
32.JPEG,12.992369651794434,14.98533821105957,13.710075378417969
33.JPEG,13.496012687683105,12.993549346923828,15.618277549743652
34.JPEG,12.771551132202148,12.992020606994629,11.817933082580566
35.JPEG,16.354019165039062,14.895392417907715,12.336468696594238
36.JPEG,14.61508560180664,14.79550838470459,11.541227340698242
37.JPEG,14.560458183288574,21.155305862426758,13.399735450744629
38.JPEG,12.346510887145996,16.779111862182617,20.527036666870117
39.JPEG,20.427030563354492,19.816287994384766,15.521110534667969
40.JPEG,13.744343757629395,20.221406936645508,14.224261283874512
41.JPEG,18.341079711914062,21.080440521240234,14.565091133117676
42.JPEG,14.143282890319824,18.614046096801758,15.72173023223877
43.JPEG,17.168827056884766,22.097530364990234,18.735078811645508
44.JPEG,19.2152156829834,25.846094131469727,16.28630828857422
45.JPEG,13.675783157348633,17.486648559570312,15.849855422973633
46.JPEG,15.276176452636719,16.811748504638672,11.200519561767578
47.JPEG,18.67129898071289,20.888303756713867,19.1026611328125
48.JPEG,14.098151206970215,19.299951553344727,11.799849510192871
49.JPEG,13.341700553894043,14.964160919189453,13.125689506530762
50.JPEG,14.363967895507812,14.585614204406738,14.29176139831543
51.JPEG,13.377338409423828,14.869208335876465,9.96133041381836
52.JPEG,19.390453338623047,19.902402877807617,14.128945350646973
53.JPEG,15.052698135375977,15.533646583557129,17.100196838378906
54.JPEG,15.711275100708008,19.55843162536621,12.89110279083252
55.JPEG,12.814273834228516,16.572498321533203,12.422319412231445
56.JPEG,12.68631649017334,18.064950942993164,12.220267295837402
57.JPEG,14.262630462646484,15.89763355255127,12.26824951171875
58.JPEG,13.935860633850098,18.0821590423584,11.910691261291504
